priority,id,class,phyloP,phastCons,denovo,lnTPM,max_Lu_riboTPM,validated by 2nd method
145,2267.1,utORFs,1.7316356849055299,0.869829457640366,No,2.7269796368200456,0.112348,No
146,1777.1,mel-specific,-0.17603381687622302,0.00820772952663348,Yes,1.57935842666041,0.09923,No
147,5010.1,unassigned,0.0241803811267295,0.0476671315231484,No,4.19295836994257,0.0,No
148,23.1,utORFs,1.60278108358309,0.8556716418604999,No,2.780600355726138,0.098998,No
149,1407.1,utORFs,1.63330248108904,0.7912037057937179,Yes,4.010796000941486,2.554072,No
150,1658.1,utORFs,1.5376064744562399,0.8618194462011429,No,2.1126660683924956,0.194804,No
151,2272.1,utORFs,1.00829824132093,0.551011696024199,Yes,5.311399417156608,0.427094,No
152,2076.1,alt-frame,2.3926889236499,0.819577780691907,No,2.376939034894729,0.1235,No
153,1493.1,utORFs,1.14992856826367,0.8153511911999279,No,2.2301540678245826,0.163363,No
154,3644.1,alt-frame,1.89905304678321,0.879530304421981,No,2.543847344791249,0.105663,No
155,395.1,alt-frame,1.5483485264985901,0.826121212350148,No,1.8138428270133669,0.353058,No
156,1662.1,utORFs,2.09757575197992,0.6786818184949821,Yes,3.924326466487617,1.600899,No
157,638.1,alt-frame,1.6845926155485702,0.852567901474102,Yes,2.2733763404779466,0.136246,No
158,4680.1,utORFs,0.34033333485228195,0.35743333291514595,Yes,3.6014727171616734,0.0,No
159,2020.1,mel-specific,0.0302941193621533,0.03221568639399299,Yes,1.1158672289195006,0.17556300000000002,No
160,2368.1,utORFs,1.5524965750535,0.9019863943563029,No,3.125855126200655,0.034106,No
161,1660.2,unassigned,0.20003508919392501,0.0774736844530133,No,3.500587801710721,0.0,No
162,885.1,utORFs,0.9342977314705799,0.633376590979556,Yes,3.7271373000131347,1.058109,No
163,4489.1,alt-frame,2.06996667931477,0.999616666634877,No,2.259068429445449,0.11481300000000001,No
164,1330.1,utORFs,1.20270589125507,0.8178823549738701,Yes,1.9508220658163258,0.18816,No
165,2945.1,utORFs,1.17761110961825,0.882927779046198,Yes,2.0022150003016375,0.16497,No
166,1675.1,alt-frame,2.0546388822711203,0.836388888749449,Yes,2.201359350700388,0.124357,No
167,1549.1,utORFs,0.7344066658678149,0.7075266672903671,Yes,4.58612679619816,0.32829899999999995,No
168,2758.1,utORFs,0.8823809561763141,0.45500952296202896,Yes,4.4056898761801655,0.363512,No
169,633.1,fast-evolving,-0.33885586134007106,0.0117657657089719,Yes,3.224432199587825,0.0,No
170,1599.1,alt-frame,1.79995552673936,0.867244444440843,No,1.6288634098021981,0.38513600000000003,No
171,2372.1,fast-evolving,0.341444443087783,0.15564197564374,Yes,0.7694232649445262,0.267214,No
172,687.1,utORFs,1.1452708414273898,0.8320416685787171,Yes,2.1029355093530597,0.1406,No
173,1025.1,utORFs,0.40494253600936897,0.41022988647789893,No,3.2033326125707404,0.0,No
174,1666.1,utORFs,1.28744143630202,0.775945947674388,No,5.188614581313117,0.236842,No
175,250.1,utORFs,1.1706274479438898,0.68986274571435,Yes,3.540332750969807,0.946679,No
176,4880.1,alt-frame,2.04089582711458,0.9263750005726858,Yes,1.4485503574034386,0.8281280000000001,No
177,4945.1,utORFs,1.06649613263475,0.6450232559744661,Yes,3.2737571904225344,1.6059780000000001,No
178,3066.1,utORFs,0.608538705193714,0.517802528150182,Yes,3.145570453621109,3.568875,No
179,4270.1,utORFs,1.49025555284073,0.9789333343505859,No,1.5817443615291917,0.3994,No
180,2143.1,utORFs,0.8718271710346509,0.6393703705427111,Yes,4.346149062990459,0.30377600000000005,No
181,84.1,unassigned,1.45166666787483,0.7325294128215111,No,3.719027548708048,0.51345,No
182,2240.1,utORFs,1.4693684141935899,0.663877190750403,Yes,3.857113031363694,0.435885,No
183,2283.1,mel-specific,0.18142424107557398,0.177642424864638,Yes,0.6798060825477554,0.253371,No
184,4161.1,utORFs,0.37063999429655603,0.26391999900185803,Yes,3.003412058370291,0.0,No
185,1714.1,mel-specific,0.32976829280463504,0.47233333529495597,No,2.9948731045740025,0.0,No
186,3692.1,utORFs,1.8712039212312799,0.76285882376947,No,3.210558410880319,0.986597,No
187,2707.1,alt-frame,1.00348412216716,0.960264552049536,Yes,2.6487144774662017,0.014579,No
188,1814.1,utORFs,1.25539168620793,0.5936250005412149,Yes,3.3876164434562384,0.649382,No
189,1660.1,fast-evolving,0.37115278094360205,0.185930556190821,Yes,2.879547497500016,0.0,No
190,3647.1,utORFs,0.9429019623454291,0.823372547943875,Yes,1.7273124994550852,0.201573,No
191,1200.1,utORFs,1.07614142319771,0.884454545969463,No,2.464547722785828,0.031187,No
192,1509.1,unassigned,1.28734615382452,0.754713675591788,No,7.0749305823749395,0.15443199999999999,No
193,1629.1,unassigned,0.0,0.0,No,0.970898606964811,0.129821,No
194,2413.1,fast-evolving,0.09455555897956301,0.00824074071607794,Yes,2.7464458945331143,0.0,No
195,1116.1,mel-specific,0.195520833910753,0.181104167054097,No,2.6605852184917076,0.0,No
196,4483.1,utORFs,2.5653960990094102,0.764946860078484,Yes,3.185835764071633,0.5519649999999999,No
197,2324.1,utORFs,0.30261904746294,0.351714284105193,Yes,2.6459788916710285,0.0,No
198,2400.1,utORFs,0.259307698489955,0.219948717740735,Yes,2.6377234403804373,0.0,No
