2161.1,utORFs
2164.1,alt-frame
2166.1,nonfunctional
2167.1,utORFs
2170.1,utORFs
2173.1,fast-evolving
2176.1,alt-frame
2177.1,alt-frame
2179.1,mel-specific
2180.1,alt-frame
2186.1,alt-frame
2187.1,alt-frame
2194.1,utORFs
2199.1,utORFs
2202.1,fast-evolving
2205.1,alt-frame
2207.1,utORFs
2209.1,utORFs
2217.1,utORFs
2220.1,utORFs
2221.1,utORFs
2224.1,utORFs
2227.1,alt-frame
2230.1,alt-frame
2231.1,mel-specific
2232.1,utORFs
2233.1,utORFs
2235.1,utORFs
2237.1,nonfunctional
2238.1,utORFs
2239.1,alt-frame
2240.1,utORFs
2241.1,utORFs
2244.1,fast-evolving
2248.1,utORFs
2254.1,utORFs
2255.1,utORFs
2259.1,nonfunctional
2260.1,utORFs
2261.1,fast-evolving
2266.1,alt-frame
2267.1,utORFs
2272.1,utORFs
2274.1,utORFs
2278.1,utORFs
2279.1,utORFs
2280.1,alt-frame
2283.1,mel-specific
2287.1,mel-specific
2288.1,alt-frame
2295.1,utORFs
2301.1,alt-frame
2302.1,utORFs
2303.1,utORFs
2307.1,alt-frame
2313.1,utORFs
2314.1,utORFs
2318.1,utORFs
2321.1,utORFs
2324.1,utORFs
2325.1,utORFs
2328.1,utORFs
2333.1,utORFs
2334.1,fast-evolving
2337.1,utORFs
2338.1,utORFs
2339.1,utORFs
2342.1,utORFs
2344.1,utORFs
2346.1,utORFs
2347.1,utORFs
2352.1,utORFs
2353.1,utORFs
2359.1,fast-evolving
2364.1,utORFs
2368.1,utORFs
2372.1,fast-evolving
2374.1,fast-evolving
2375.1,utORFs
2376.1,alt-frame
2377.1,utORFs
2379.1,utORFs
2382.1,fast-evolving
2391.1,utORFs
2393.1,utORFs
2396.1,utORFs
2397.1,utORFs
2400.1,utORFs
2404.1,utORFs
2413.1,fast-evolving
2421.1,utORFs
2425.1,utORFs
2429.1,utORFs
2430.1,fast-evolving
2431.1,nonfunctional
2434.1,nonfunctional
2436.1,utORFs
2437.1,utORFs
2438.1,alt-frame
2443.1,utORFs
2444.1,utORFs
2445.1,utORFs
2448.1,alt-frame
2449.1,nonfunctional
2450.1,utORFs
2451.1,utORFs
2452.1,utORFs
2454.1,utORFs
2455.1,mel-specific
2460.1,utORFs
2461.1,fast-evolving
2464.1,utORFs
2466.1,utORFs
2471.1,utORFs
2472.1,fast-evolving
2477.1,alt-frame
2478.1,mel-specific
2483.1,utORFs
2485.1,utORFs
2486.1,fast-evolving
2490.1,utORFs
2496.1,utORFs
2497.1,utORFs
2502.1,mel-specific
2512.1,utORFs
2515.1,utORFs
2518.1,nonfunctional
2526.3,utORFs
2533.1,utORFs
2544.1,utORFs
2552.1,utORFs
2558.1,utORFs
2562.1,mel-specific
2564.1,utORFs
2567.2,alt-frame
2569.1,utORFs
2572.1,utORFs
2574.1,utORFs
2582.1,nonfunctional
2583.1,fast-evolving
2586.1,utORFs
2594.1,utORFs
2596.1,utORFs
2604.1,mel-specific
2605.1,utORFs
2617.1,alt-frame
2618.1,utORFs
2628.1,nonfunctional
2630.1,utORFs
2640.1,utORFs
2644.1,utORFs
2645.1,fast-evolving
2654.1,alt-frame
2659.1,nonfunctional
2662.1,utORFs
2666.1,utORFs
2674.1,fast-evolving
2682.1,alt-frame
2687.1,utORFs
2690.1,utORFs
2693.1,utORFs
2695.1,utORFs
2696.1,fast-evolving
2701.1,utORFs
2703.1,utORFs
2704.1,utORFs
2707.1,alt-frame
2708.1,mel-specific
2718.1,utORFs
2720.1,alt-frame
2724.1,alt-frame
2730.1,alt-frame
2731.1,utORFs
2735.1,utORFs
2753.1,utORFs
2754.1,utORFs
2758.1,utORFs
2759.1,utORFs
2763.1,utORFs
2766.1,alt-frame
2768.1,utORFs
2773.1,utORFs
2779.1,utORFs
2780.1,alt-frame
2792.1,utORFs
2810.1,nonfunctional
2829.1,alt-frame
2853.1,utORFs
2855.1,nonfunctional
2857.1,utORFs
2896.1,utORFs
2899.1,alt-frame
2919.1,mel-specific
2945.1,utORFs
2952.1,utORFs
2962.1,nonfunctional
2968.1,utORFs
2971.1,utORFs
2981.1,utORFs
2982.1,fast-evolving
2998.1,utORFs
3000.1,fast-evolving
3023.1,utORFs
3026.1,alt-frame
3032.1,utORFs
3035.1,fast-evolving
3065.1,alt-frame
3066.1,utORFs
3067.1,utORFs
3068.1,alt-frame
3076.1,nonfunctional
3077.1,utORFs
3091.1,utORFs
3099.1,utORFs
3100.1,fast-evolving
3118.1,mel-specific
3121.2,alt-frame
3132.1,nonfunctional
3143.1,utORFs
3144.1,utORFs
3158.1,alt-frame
3176.1,utORFs
3179.1,mel-specific
3181.1,utORFs
3195.1,fast-evolving
3203.1,utORFs
3212.1,nonfunctional
3213.1,alt-frame
3214.1,alt-frame
3229.1,alt-frame
3233.1,alt-frame
3247.1,utORFs
3290.1,utORFs
3294.1,utORFs
3298.1,mel-specific
3308.1,utORFs
3325.1,utORFs
3337.1,utORFs
3343.1,utORFs
3351.1,utORFs
3359.1,utORFs
3367.1,fast-evolving
3370.1,utORFs
3392.1,utORFs
3409.1,utORFs
3414.1,utORFs
3456.1,utORFs
3458.1,fast-evolving
3472.1,utORFs
3489.1,mel-specific
3491.1,alt-frame
3511.1,alt-frame
3513.1,utORFs
3547.1,alt-frame
3581.1,alt-frame
3618.1,mel-specific
3622.1,alt-frame
3643.1,utORFs
3644.1,alt-frame
3647.1,utORFs
3652.1,nonfunctional
3654.1,utORFs
3656.1,utORFs
3692.1,utORFs
3699.1,utORFs
3704.1,alt-frame
3714.1,utORFs
3724.1,utORFs
3727.1,mel-specific
3735.1,utORFs
3745.1,utORFs
3748.1,fast-evolving
3754.1,utORFs
3755.1,utORFs
3769.1,utORFs
3818.1,utORFs
3843.1,alt-frame
3846.1,utORFs
3863.1,utORFs
3922.1,utORFs
3924.1,utORFs
3940.1,utORFs
3948.1,utORFs
3959.1,utORFs
3961.1,utORFs
3962.1,nonfunctional
3972.1,utORFs
3973.1,mel-specific
3998.1,utORFs
3999.1,utORFs
4001.1,utORFs
4006.1,utORFs
4021.1,fast-evolving
4040.1,utORFs
4053.1,alt-frame
4067.1,utORFs
4069.1,utORFs
4083.1,utORFs
4088.1,utORFs
4105.1,utORFs
4112.1,utORFs
4119.1,fast-evolving
4141.1,utORFs
4142.1,utORFs
4161.1,utORFs
4168.1,utORFs
4170.1,utORFs
4171.1,fast-evolving
4200.1,utORFs
4202.1,fast-evolving
4206.1,mel-specific
4206.2,mel-specific
4214.1,fast-evolving
4230.1,utORFs
4233.1,mel-specific
4235.1,mel-specific
4237.1,fast-evolving
4239.1,fast-evolving
4270.1,utORFs
4276.1,utORFs
4289.1,utORFs
4294.1,fast-evolving
4301.1,utORFs
4303.1,utORFs
4330.1,utORFs
4346.1,utORFs
4355.1,alt-frame
4391.1,utORFs
4408.1,utORFs
4434.1,alt-frame
4447.1,utORFs
4452.1,mel-specific
4457.1,alt-frame
4458.1,utORFs
4482.1,utORFs
4483.1,utORFs
4484.1,utORFs
4485.1,utORFs
4489.1,alt-frame
4497.1,fast-evolving
4510.1,utORFs
4511.1,utORFs
4521.1,utORFs
4522.1,utORFs
4589.1,utORFs
4600.1,nonfunctional
4661.1,alt-frame
4663.1,utORFs
4670.1,utORFs
4672.1,alt-frame
4680.1,utORFs
4686.1,utORFs
4720.1,fast-evolving
4721.1,utORFs
4737.1,utORFs
4747.1,fast-evolving
4749.1,utORFs
4750.1,alt-frame
4766.1,fast-evolving
4767.1,alt-frame
4773.1,utORFs
4777.1,utORFs
4779.1,utORFs
4786.1,utORFs
4812.1,nonfunctional
4818.1,utORFs
4822.1,utORFs
4832.1,utORFs
4838.1,utORFs
4858.1,utORFs
4861.1,utORFs
4865.1,utORFs
4867.1,utORFs
4869.1,utORFs
4880.1,alt-frame
4889.1,utORFs
4892.1,utORFs
4896.1,fast-evolving
4919.1,alt-frame
4922.1,utORFs
4932.1,nonfunctional
4937.1,alt-frame
4938.1,utORFs
4944.1,utORFs
4945.1,utORFs
4956.1,utORFs
4965.1,alt-frame
4973.1,utORFs
4976.1,utORFs
4982.1,utORFs
4986.1,utORFs
4989.1,fast-evolving
4992.1,alt-frame
5022.1,alt-frame
