,furthest,genomic,phyloP,phastCons,length,monophyletic,sigTPM,tau,dev_tau
365,NA,3,2,2,3,NA,1,1,1
366,7,3,2,2,3,2,1,2,2
367,NA,3,3,3,3,NA,1,2,2
368,2,3,2,1,1,1,1,1,1
369,10,1,3,3,3,2,1,1,1
370,10,2,3,3,3,2,1,1,1
371,7,1,3,3,3,2,1,1,1
372,7,3,2,2,3,2,1,2,2
373,10,1,3,3,1,2,1,2,1
374,7,2,2,2,2,2,1,2,2
375,8,2,3,3,2,2,1,1,2
376,7,3,2,2,2,2,1,1,2
377,10,2,3,2,2,2,1,1,1
378,4,1,2,1,2,2,1,1,1
379,8,2,2,2,2,2,1,1,1
380,7,3,2,2,2,2,1,2,2
381,3,3,2,1,2,2,1,1,1
382,8,2,NA,NA,3,2,NA,NA,NA
383,6,2,3,3,3,2,1,1,1
384,10,1,3,3,3,2,1,1,1
385,14,2,2,2,2,2,1,1,1
386,8,3,2,2,3,2,1,2,1
387,8,2,2,2,2,2,1,1,1
388,7,3,2,2,2,2,1,1,1
389,6,2,2,2,1,2,1,1,1
390,7,1,2,1,2,2,1,1,2
391,1,4,1,1,2,1,1,1,2
392,10,2,2,2,2,2,1,1,1
393,10,2,2,2,2,2,1,2,1
394,8,3,3,3,1,1,1,2,1
395,10,1,3,3,2,2,1,1,1
396,8,2,2,2,2,2,1,1,1
397,10,1,3,3,2,2,1,2,1
398,6,1,2,1,3,2,1,1,2
399,10,1,3,3,2,2,1,1,1
400,1,3,1,NA,3,1,1,1,2
401,1,1,1,NA,2,1,1,1,1
402,NA,4,2,2,3,2,1,2,2
403,2,3,2,1,1,1,1,1,1
404,1,1,1,NA,1,1,1,1,1
405,8,2,2,2,2,2,1,1,1
406,2,1,2,1,2,1,1,2,1
407,6,3,2,2,2,2,1,1,2
408,NA,3,3,3,3,NA,1,1,2
409,7,1,1,1,2,2,1,1,1
410,10,2,3,3,3,2,1,1,1
411,7,3,2,1,2,2,1,1,1
412,NA,3,2,1,1,NA,1,2,2
413,6,1,1,1,2,2,1,1,1
414,8,3,3,2,2,2,1,2,2
415,7,1,2,2,2,1,1,1,1
416,10,3,2,2,2,2,1,2,2
417,11,2,3,2,3,2,1,2,2
418,NA,2,2,1,3,NA,1,1,1
419,2,2,2,2,2,1,1,1,1
420,3,3,2,1,3,2,1,1,1
421,8,2,3,3,2,2,1,1,2
422,7,1,3,2,3,2,2,2,2
423,14,2,3,3,1,2,2,2,2
424,6,3,2,2,2,2,1,1,1
425,8,2,3,3,1,1,1,1,1
426,7,3,2,2,2,2,1,2,1
427,10,1,3,3,3,2,1,1,1
428,6,2,3,2,3,2,1,1,2
429,7,3,3,3,3,2,1,1,1
430,8,1,3,3,3,2,1,1,1
431,8,2,3,3,2,2,1,1,1
432,13,2,3,3,2,2,1,1,1
433,10,1,3,3,2,2,1,1,1
434,10,1,3,3,2,2,2,2,2
435,10,2,3,2,2,2,1,1,2
436,1,4,2,2,2,1,1,1,1
437,1,1,2,3,1,1,1,1,1
438,1,1,1,NA,2,1,1,1,1
439,NA,4,1,1,3,2,1,1,2
440,9,3,2,2,2,2,1,1,1
441,1,3,1,NA,1,1,1,1,1
442,6,3,3,3,3,2,1,1,2
443,7,1,3,3,2,2,2,2,2
444,6,3,2,2,2,2,1,2,1
445,11,2,2,1,1,2,1,1,2
446,9,2,2,2,3,2,1,2,1
447,7,3,1,1,1,2,1,1,1
448,8,1,3,3,2,2,1,1,1
449,9,2,3,3,2,2,1,2,1
450,10,3,3,3,1,2,1,1,1
451,6,3,2,2,2,2,1,1,1
452,6,3,2,2,3,2,1,1,1
453,6,1,2,2,3,2,1,1,1
454,6,1,2,2,3,2,1,1,1
455,6,3,2,2,2,2,1,1,1
456,4,3,2,2,2,2,1,1,1
457,2,3,1,1,2,1,1,1,2
458,2,1,1,1,3,1,1,1,1
459,6,3,2,2,2,2,1,1,1
460,9,3,3,2,1,2,1,1,1
461,8,2,2,2,3,2,1,1,1
462,6,3,2,2,2,2,1,2,1
463,7,2,3,3,3,2,1,1,1
464,8,2,3,2,2,2,1,1,1
465,10,1,3,2,2,2,1,2,1
466,7,1,3,3,3,2,1,1,1
467,6,3,2,2,3,2,1,1,2
468,1,3,1,1,2,1,1,1,1
469,3,3,2,1,2,2,1,2,2
470,14,1,2,3,1,2,1,1,2
471,2,1,2,3,3,2,1,1,1
472,10,3,2,2,2,2,1,1,2
473,8,3,3,2,2,2,1,1,1
474,8,3,3,3,2,2,1,1,1
475,10,1,3,3,3,2,1,1,1
476,10,1,3,3,2,2,2,2,2
477,9,3,2,2,3,2,1,1,1
478,7,2,2,2,2,2,1,1,1
479,8,2,2,2,2,2,1,2,1
480,3,2,2,2,2,2,1,2,1
481,1,1,1,NA,2,1,1,2,1
482,8,1,3,3,1,2,1,1,1
483,9,3,2,2,3,2,1,1,1
484,1,2,2,1,3,1,1,1,2
485,7,3,2,3,2,2,1,1,1
486,11,3,3,3,3,2,1,2,2
487,8,1,3,2,3,2,1,1,1
488,NA,2,2,2,3,NA,1,1,2
489,7,2,2,2,2,2,1,1,1
490,10,2,3,2,3,2,1,1,1
491,8,1,3,3,2,2,1,2,1
492,10,1,2,2,2,2,2,2,2
493,NA,3,3,2,3,NA,1,1,1
494,10,1,3,3,2,2,1,1,2
495,6,1,2,3,2,2,1,2,1
496,10,2,3,3,2,2,1,1,1
497,10,1,3,3,2,2,1,1,1
498,12,3,3,3,2,2,1,2,2
499,10,2,3,3,1,2,1,1,1
500,10,3,3,2,3,2,1,2,2
501,1,1,1,NA,3,1,1,1,1
502,10,2,2,2,1,2,1,2,1
503,8,2,3,3,2,2,1,1,2
504,7,1,1,1,2,2,1,1,1
505,6,1,2,2,2,2,2,2,2
506,6,3,3,2,2,2,1,2,2
507,12,2,3,3,3,2,1,2,1
508,6,1,2,2,2,2,1,1,2
509,8,3,3,3,1,2,1,1,1
510,7,2,3,3,3,2,1,2,2
511,8,1,2,2,2,2,2,2,2
512,8,1,2,1,2,2,1,1,1
513,8,2,2,2,3,2,1,1,2
514,10,3,3,3,2,2,1,1,1
515,6,3,2,2,3,2,1,1,1
516,7,1,2,2,3,2,1,1,1
517,3,1,2,1,2,2,1,1,2
518,7,3,2,2,3,2,1,1,1
519,10,2,3,2,1,2,1,2,1
520,10,3,2,2,2,2,1,1,1
521,3,1,1,1,2,2,2,2,2
522,6,3,2,1,2,2,1,1,1
523,6,3,2,2,2,2,1,1,1
524,10,3,3,3,3,2,1,1,1
525,7,3,2,2,3,2,1,2,2
526,7,3,2,2,3,2,1,1,1
527,7,2,1,1,3,2,1,1,1
528,8,2,3,3,3,2,1,2,2
529,4,2,2,2,1,2,1,1,1
530,5,3,2,1,1,2,1,1,2
531,6,3,3,3,3,2,1,2,1
532,6,3,2,2,1,2,1,1,1
533,6,2,2,2,2,2,1,1,1
534,9,1,3,3,2,2,1,1,1
535,11,2,3,3,3,2,1,1,2
536,2,1,2,1,1,1,1,1,1
537,1,2,1,NA,2,1,1,1,2
538,8,2,3,3,2,2,1,1,2
539,10,1,2,2,2,2,1,2,1
540,9,1,2,2,2,2,1,1,1
541,11,2,3,3,3,2,1,1,1
542,10,1,3,3,2,2,1,2,1
543,10,2,3,3,2,2,1,1,1
544,6,2,2,2,3,2,1,1,1
545,2,1,2,1,2,2,1,1,1
546,1,4,2,2,2,1,1,2,2
547,1,2,1,NA,2,1,1,1,1
548,10,3,2,2,2,2,1,1,1
549,10,2,2,2,2,2,2,2,2
550,4,2,2,1,3,2,1,1,1
551,13,2,3,3,2,2,1,1,2
552,8,3,3,3,2,2,1,1,2
553,8,2,2,2,3,2,1,1,2
554,6,3,2,2,2,2,1,1,2
555,7,3,2,2,2,2,1,1,2
556,13,2,3,3,2,2,1,1,2
557,10,3,3,3,1,1,1,1,2
558,10,1,3,3,2,2,1,2,1
559,12,2,3,3,2,2,1,2,2
560,10,3,3,3,2,2,1,1,2
561,2,3,1,1,2,2,1,1,1
562,10,1,3,2,2,2,1,1,1
563,6,1,2,2,2,2,1,1,1
564,11,3,3,3,2,2,1,2,2
565,10,3,3,3,2,2,1,1,1
566,7,1,2,3,2,2,1,1,1
567,6,2,1,1,2,2,1,1,2
568,7,2,2,2,2,2,1,1,1
569,10,3,3,2,3,2,1,1,1
570,14,2,2,2,1,2,1,2,1
571,12,2,3,3,3,2,1,1,2
572,8,1,2,3,2,2,2,2,2
573,7,3,2,2,2,2,1,1,2
574,10,1,3,2,3,2,1,1,1
575,10,2,3,3,2,2,1,2,1
576,9,3,3,3,1,2,1,1,1
577,7,1,3,2,3,2,1,1,1
578,9,1,3,2,3,2,1,1,1
579,7,2,3,3,1,2,1,1,1
580,4,1,2,2,2,2,1,1,2
581,6,3,2,3,2,2,1,1,2
582,10,3,3,3,2,2,1,2,2
583,8,1,3,3,2,2,2,2,1
584,10,1,2,2,2,2,1,1,1
585,8,3,2,2,2,2,1,1,1
586,10,2,2,1,2,2,1,1,1
587,14,2,3,3,2,2,1,1,1
588,14,2,3,3,3,2,1,1,1
589,1,4,1,NA,2,1,1,1,1
590,1,4,2,2,3,1,1,1,1
591,14,2,2,3,2,2,1,1,1
592,12,2,2,2,3,2,1,1,2
593,12,3,2,2,3,2,1,2,2
594,6,3,2,2,3,2,1,2,1
595,6,1,2,2,2,2,1,2,1
596,6,3,2,1,2,2,1,1,1
597,14,2,3,3,2,1,1,1,2
598,10,1,3,2,2,2,1,1,1
599,8,1,3,3,3,2,1,1,1
600,6,3,2,2,2,2,1,1,2
601,8,3,2,2,2,2,1,2,1
602,7,1,2,2,2,2,1,2,1
603,8,1,2,2,2,2,1,2,1
604,10,3,3,3,2,2,1,1,2
605,10,3,3,3,2,2,1,1,2
606,1,1,1,1,2,1,1,1,1
607,6,2,2,2,2,2,1,1,1
608,10,2,3,2,2,2,1,1,1
609,7,3,2,2,3,2,1,1,1
610,8,2,2,3,2,2,2,2,2
611,8,1,2,2,3,2,1,1,1
612,11,3,3,3,2,2,1,1,2
613,10,3,3,2,1,2,1,2,2
614,7,3,2,2,3,2,1,1,1
615,7,1,2,1,2,2,1,1,1
616,7,1,2,2,2,2,1,2,1
617,10,3,3,2,2,2,1,1,1
618,8,2,2,3,2,2,1,1,1
619,8,1,3,2,2,2,2,2,2
620,7,1,3,3,2,2,1,1,1
621,2,3,1,1,2,2,1,1,2
622,10,3,3,3,2,2,1,2,1
623,7,2,3,3,2,2,1,2,1
624,8,3,2,2,3,2,1,1,2
625,10,2,3,2,2,2,1,1,1
626,9,2,2,2,2,2,1,1,2
627,8,2,2,2,2,2,1,2,2
628,10,2,3,3,2,2,1,1,1
629,1,3,2,1,3,1,1,1,1
630,1,3,1,1,2,1,1,1,1
631,14,2,3,3,2,2,1,1,2
632,8,1,2,3,2,2,1,1,1
633,10,1,3,3,1,2,1,1,2
634,8,3,3,3,2,2,1,1,1
635,8,1,3,2,2,2,1,1,2
636,9,2,3,3,2,1,1,1,1
637,10,1,3,3,3,2,1,1,1
638,10,2,3,2,3,2,1,2,2
639,7,3,3,3,3,2,1,1,2
640,6,2,2,2,2,2,1,1,1
641,6,2,2,2,2,2,1,1,1
642,8,2,3,2,2,2,1,1,1
643,8,3,2,2,2,2,1,1,1
644,9,3,2,2,1,2,1,1,1
645,9,2,2,1,2,2,1,2,1
646,10,2,3,3,3,2,1,1,1
647,6,2,2,2,3,2,1,1,1
648,8,2,2,2,3,2,1,1,2
649,6,1,2,2,3,2,1,2,1
650,9,3,2,2,2,2,1,1,1
651,7,1,3,3,1,2,1,1,1
652,8,3,2,2,3,2,1,1,1
653,10,2,3,2,2,2,1,1,2
654,6,2,2,2,1,2,1,1,1
655,7,2,2,1,2,2,1,1,1
656,6,3,2,2,3,2,1,2,2
657,9,3,3,3,2,2,1,1,2
658,6,3,2,1,3,2,1,1,2
659,6,1,2,1,3,2,1,1,1
660,8,2,3,2,3,2,1,1,1
661,10,2,3,3,3,2,1,1,2
662,7,1,3,3,3,2,1,1,1
663,9,3,3,3,2,2,1,1,2
664,11,3,2,1,2,2,1,1,1
665,NA,3,2,2,3,NA,1,2,1
666,9,3,2,2,2,2,1,1,1
667,7,1,3,3,2,2,1,1,1
668,7,1,2,2,3,2,1,1,1
669,8,1,3,2,2,2,1,1,1
670,6,3,2,2,2,2,1,2,1
671,7,1,3,2,1,2,1,1,1
672,6,3,2,1,1,2,1,1,2
673,6,3,2,3,1,2,1,1,1
674,7,3,2,2,3,2,1,1,1
675,7,1,2,2,2,2,1,2,1
